work_id,language,title,author,author_id,source_id,cts_work_urn,work_kind,parent_work_id,start_citation,end_citation,word_count,word_count_method,source_metadata_summary,classification_discovery_group_id,classification_discovery_tags,classification_global_popularity_score,classification_global_popularity_tier,classification_group_popularity_score,classification_group_popularity_tier,classification_category,classification_period,classification_date_range,classification_authorship_status,classification_popularity_score,classification_popularity_tier,classification_scope,classification_scope_popularity_score,classification_scope_popularity_tier,classification_confidence,classification_notes,classification_generator_models,classification_generator_run_id
langnet:reader:phi:lat0442.002,lat,fragmentum,A. Caecina,phi0442,lat0442.002,urn:cts:latinLit:phi0442.phi002,work,,,,51,whitespace_tokens,,fragmentary,,1,obscure,1,obscure,Fragmentary,Late Republic,c. 1st century BCE,single_attributed,1,obscure,Latin Fragmentary Literature,1,obscure,low,"A single fragment (51 words) from A. Caecina, a Late Republican author known only from this brief textual survival. The nature and genre of the original work cannot be determined from the fragmentary evidence.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0466.001,lat,"Liber Bene Dictorum, frr. duo",A. Cascellius,phi0466,lat0466.001,urn:cts:latinLit:phi0466.phi001,work,,,,15,whitespace_tokens,,rhetoric,oratory,2,obscure,2,obscure,Fragmentary Text,Late Republic,,single_attributed,2,obscure,Latin Rhetoric,2,obscure,medium,"A. Cascellius' Liber Bene Dictorum, known from two fragments (15 words total), was a collection of witticisms or humorous sayings. It belongs to the tradition of Roman facetiae. The fragments are too brief to assess the work fully; it is of interest only to specialists in Roman humor and fragmentary literature.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0502.001,lat,Annales,A. Cremutius Cordus,phi0502,lat0502.001,urn:cts:latinLit:phi0502.phi001,work,,,,121,whitespace_tokens,,history,fragmentary,10,specialist,15,specialist,History,Early Imperial,1st century CE,single_attributed,10,specialist,Latin History,15,specialist,high,"Fragments of Cremutius Cordus' Annales, a lost historical work covering the civil wars and early Imperial period. Cordus was condemned posthumously; only a few lines survive via quotations.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0518.001,lat,carmina,A. Furius Antias,phi0518,lat0518.001,urn:cts:latinLit:phi0518.phi001,work,,,,36,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Furius Antias, A. (Aulus) fl. 100 B.C; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,epic,10,specialist,15,specialist,Poetry,Late Republic,c. 100-50 BCE,single_attributed,10,specialist,Other Latin Literature,15,specialist,medium,"Only 36 words survive from the carmina of A. Furius Antias, a Late Republican poet. These fragments, preserved in the Fragmenta Poetarum Latinorum, are insufficient for literary analysis but testify to the poetic activity of the period. The work is of specialist interest only to scholars of fragmentary Latin poetry.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0530.001,lat,De Bello Gallico Liber VIII,A. Hirtius,phi0530,lat0530.001,urn:cts:latinLit:phi0530.phi001,work,,,,6912,whitespace_tokens,,history,history,40,common,50,common,History,Late Republic,c. 51–50 BCE,single_attributed,40,common,Latin History,50,common,high,Hirtius' 'De Bello Gallico Liber VIII' is the continuation of Caesar's Gallic War commentaries. It is an important historical source for the final campaigns in Gaul and is regularly read alongside Caesar's own books.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0530.002,lat,epistulae,A. Hirtius,phi0530,lat0530.002,urn:cts:latinLit:phi0530.phi002,work,,,,171,whitespace_tokens,,letter,letter,10,obscure,15,specialist,Letter,Late Republic,,single_attributed,10,obscure,Other Latin Literature,15,specialist,low,"Fragments of Hirtius' letters, preserved by ancient authors, provide sparse testimony to his epistolary activity. Hirtius is known as a continuator of Caesar, but these fragments are too brief to be of more than specialist interest.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0122.001,lat,Annales,A. Postumius Albinus,phi0122,lat0122.001,urn:cts:latinLit:phi0122.phi001,work,,,,12,whitespace_tokens,"perseus_subject=Latin language--Grammar--Early works to 1500; perseus_author=Postumius Albinus, A. (Aulus) fl. 167-146 B.C; perseus_editor=Funaioli, Gino; perseus_year_published=1907; perseus_language=Latin",history,history|fragmentary,3,obscure,3,obscure,History,Republican,c. 2nd century BC,single_attributed,3,obscure,Latin History,3,obscure,high,"Fragmentary Annales of A. Postumius Albinus, a Roman historical work.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat2000.001,lat,epigramma,Ablabius,phi2000,lat2000.001,urn:cts:latinLit:phi2000.phi001,work,,,,11,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Ablabius; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",fragmentary,epigram|fragmentary,3,obscure,5,obscure,Fragmentary,Imperial,,single_attributed,3,obscure,Latin Lyric and Elegiac Poetry,5,obscure,low,"A single epigram attributed to the obscure poet Ablabius, preserved in the Anthologia Latina. Its minimal length and uncertain provenance place it among the most marginal remnants of Latin verse.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat1363.002,lat,Vergilius,Aemilius Asper,phi1363,lat1363.002,urn:cts:latinLit:phi1363.phi002,work,,,,1776,whitespace_tokens,,commentary,commentary,25,specialist,30,specialist,Commentary,Imperial,,single_attributed,25,specialist,Latin Commentary and Scholia,30,specialist,medium,"Aemilius Asper's commentary on Vergil, surviving in excerpts, represents the early tradition of Vergilian exegesis. It provides grammatical and stylistic observations.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat1363.001,lat,comment. in Ter. Sall. Verg.,Aemilius Asper,phi1363,lat1363.001,urn:cts:latinLit:phi1363.phi001,work,,,,881,whitespace_tokens,,commentary,,10,specialist,20,specialist,Commentary,Imperial,2nd-3rd centuries CE,single_attributed,10,specialist,Latin Commentary and Scholia,20,specialist,medium,"Aemilius Asper's commentary on Terence, Sallust, and Virgil survives only in fragments. It is a specialist text of interest to scholars of Latin textual criticism and the ancient commentary tradition.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0923.001,lat,carmina,Aemilius Macer,phi0923,lat0923.001,urn:cts:latinLit:phi0923.phi001,work,,,,106,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Macer, Aemilius d. 16 B.C; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,didactic|fragmentary,5,obscure,10,obscure,Poetry,Augustan,,attributed,5,obscure,Latin Epic Poetry,10,obscure,medium,"These fragmentary carmina of Aemilius Macer, a didactic poet of the Augustan period, preserve small remnants of his lost scientific poetry.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0923.002,lat,fragmentum a Morel omissum,Aemilius Macer,phi0923,lat0923.002,urn:cts:latinLit:phi0923.phi002,work,,,,7,whitespace_tokens,,poetry,didactic,5,obscure,5,obscure,Poetry,Late Republic,c. 1st century BCE,single_attributed,5,obscure,Other Latin Literature,5,obscure,low,"Aemilius Macer's 'fragmentum a Morel omissum' is a single fragment omitted from a standard collection. The author is a minor didactic poet, and the work is of minimal interest outside specialist textual studies.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat2300.001,lat,De Annis Populi Romani,Aemilius Sura,phi2300,lat2300.001,urn:cts:latinLit:phi2300.phi001,work,,,,60,whitespace_tokens,,history,history,4,obscure,6,obscure,History,Late Republic,2nd century BCE,single_attributed,4,obscure,Latin History,6,obscure,high,"Aemilius Sura's 'De Annis Populi Romani' is a chronological work listing Roman eras. Only a tiny fragment survives, cited by later authors. It is of marginal interest for Roman historiography and chronography, noted in specialist studies of Roman time reckoning.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat0800.001,lat,carmina,Albinovanus Pedo,phi0800,lat0800.001,urn:cts:latinLit:phi0800.phi001,work,,,,139,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Albinovanus Pedo; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",epic,epic|fragmentary,15,specialist,20,specialist,Epic,Early Imperial,1st century CE,single_attributed,15,specialist,Other Latin Literature,20,specialist,high,"These fragments, assigned to Albinovanus Pedo, represent the remains of his epic poetry. With only 139 words preserved, the work is known only through indirect tradition. Pedo, a contemporary of Ovid, wrote on mythological and historical themes in hexameter verse.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat2002.002,lat,De Metris,Albinus,phi2002,lat2002.002,urn:cts:latinLit:phi2002.phi002,work,,,,13,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Albinus; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",grammar,grammar,3,obscure,5,obscure,Grammar,Uncertain,,single_attributed,3,obscure,Latin Grammar,5,obscure,low,"Albinus's De Metris, preserved only in a tiny fragment, is a Latin grammatical work on meter. The author and context are poorly attested, making this a marginal text.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat2002.001,lat,Rerum Romanarum Liber I,Albinus,phi2002,lat2002.001,urn:cts:latinLit:phi2002.phi001,work,,,,23,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Albinus; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",history,history|fragmentary,10,specialist,15,specialist,History,Early Imperial,1st-2nd century CE,single_attributed,10,specialist,Latin History,15,specialist,low,A fragment of the first book of Albinus' Roman History (Rerum Romanarum). The text is too brief (23 words) to assess the work's scope or content.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat1203.001,lat,carmina,Alfius Avitus,phi1203,lat1203.001,urn:cts:latinLit:phi1203.phi001,work,,,,47,whitespace_tokens,"perseus_subject=Epic poetry, Latin; perseus_author=Alfius Avitus; perseus_editor=Morel, Willy; perseus_year_published=1927; perseus_language=Latin",poetry,fragmentary,2,obscure,1,obscure,Poetry,Imperial,,single_attributed,2,obscure,Other Latin Literature,1,obscure,low,"Alfius Avitus's carmina survive in a few fragments. The poet is obscure, and the fragments provide minimal insight into his work, making this text of interest only to specialists in Imperial Latin poetry.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
langnet:reader:phi:lat1500.001,lat,Altercatio Hadr. et Epicteti,Altercatio Hadriani Augusti et Epicteti Philosophi,phi1500,lat1500.001,urn:cts:latinLit:phi1500.phi001,work,,,,861,whitespace_tokens,,other,philosophy,25,specialist,30,specialist,Other,Early Imperial,c. 2nd century CE,attributed,25,specialist,Latin Philosophy,30,specialist,medium,"The Altercatio Hadriani Augusti et Epicteti Philosophi is a fictional dialogue between the Emperor Hadrian and the Stoic philosopher Epictetus. It is a curious pedagogical text, likely from the Roman school tradition, touching on ethical and philosophical themes. It is a specialist work, studied for its reception of Greek philosophy in Latin and for the history of education.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-012002
