author_id,author_language,author_source_id,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
phi2000,lat,phi2000,Ablabius,Ablabius,person,historical,Late Antiquity,4th–5th century CE,Roman Empire,Roman,"Author of a single surviving Latin epigram, possibly a later imperial rhetor or poet known only from fragmentary evidence.",5,obscure,low,Identity uncertain; name appears only in late collections.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,11,epigramma
phi0400,lat,phi0400,L. Accius,Lucius Accius,person,historical,Roman Republic,170–86 BCE,Rome,Latin tragedy,"Lucius Accius was a Roman tragic poet and scholar, known for his prolific output and fragments of tragedies and praetextae.",75,major,high,Well-attested Republican author.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,3,5117,tragoediae | praetextae | carmina
phi0522,lat,phi0522,C. Aelius Gallus,"Aelius Gallus, Gaius",person,historical,Augustan,1st century BCE,Rome,Roman,"Gaius Aelius Gallus was a Roman jurist and praetor, known for his work on legal language ('De Verbis ad Ius Civile') and as the author of fragments on jurisprudence. He also served as prefect of Egypt under Augustus.",25,specialist,high,Attested in legal sources; fragments preserved by later commentators.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,522,"De Verbis ad Ius Civile | iurisprudentia, fragmenta"
phi0327,lat,phi0327,L. Aelius Praeconinus Stilo,Lucius Aelius Stilo Praeconinus,person,historical,Late Republican,ca. 150–90 BCE,Rome,Roman Republic,"Roman grammarian and scholar, teacher of Varro and Cicero; an important early figure in Roman philology.",50,common,high,"His original works are lost, but his influence on later scholarship is significant.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,179,grammatica
phi0670,lat,phi0670,Q. Aelius Tubero,"Aelius Tubero, Q.",person,historical,Late Republic,1st century BCE,Rome,Roman,"A Roman historian and antiquarian, known for historical works and a letter to C. Oppius.",10,specialist,medium,Fragmentary; partly known through citations and the letter.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,103,"Historiae | liber ad C. Oppium, fr."
phi1363,lat,phi1363,Aemilius Asper,Aemilius Asper,person,historical,late republican or early imperial,1st century BCE–1st century CE,Roman Republic/Empire,Latin grammar and commentary,"Aemilius Asper was a Latin grammarian and commentator, known for his works on Vergil, Terence, and Sallust. His commentaries survive only in fragments, but he was an important figure in the ancient scholarly tradition.",20,specialist,medium,Attested through citations and fragments; exact dates and biography are uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,2657,Vergilius | comment. in Ter. Sall. Verg.
phi0118,lat,phi0118,L. Aemilius L. f. M. n. Paulus,"Aemilius Paullus, Lucius",person,historical,2nd century BCE,unknown – 160 BCE?,Italy,Roman Republic,"A Roman general and consul, victor of Pydna (168 BCE). A fragment of an oration survives.",25,obscure,low,Only 62 words of an oration survive.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,62,oratio
phi0088,lat,phi0088,M. Aemilius Lepidus Porcina,"Aemilius Lepidus Porcina, Marcus",person,historical,2nd century BCE,unknown – 126 BCE?,Italy,Roman Republic,"A Roman consul and orator, known only from a very short speech fragment.",10,obscure,low,15 words of orations survive.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,15,orationes
phi0923,lat,phi0923,Aemilius Macer,Aemilius Macer,person,historical,Augustan,1st century BCE,Rome,Roman,"Aemilius Macer was a Roman didactic poet, author of lost works on birds, snakes, and plants. Only fragments survive, quoted by later grammarians. He is often associated with the neoteric movement.",18,specialist,medium,Fragments known from citations; Ovid mentions him as a friend.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,113,carmina | fragmentum a Morel omissum
phi0640,lat,phi0640,M. Aemilius Scaurus,"Aemilius Scaurus, M.",person,historical,Late Republic,163–89 BCE,Rome,Roman,"Roman statesman and orator; wrote an autobiography and speeches, now fragmentary.",20,specialist,medium,Fragments of speeches and autobiography survive only as quotations.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,2,110,De Vita Sua | orationes
phi2300,lat,phi2300,Aemilius Sura,Aemilius Sura,person,historical,1st century BCE?,unknown,Italy,Roman Republic,"A Roman author of a work on chronology, 'De Annis Populi Romani', known only from a citation by Velleius Paterculus.",15,obscure,low,Single fragment; date and identity are speculative.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,60,De Annis Populi Romani
phi0404,lat,phi0404,L. Afranius,Lucius Afranius,person,historical,Late Republic,c. 160–c. 120 BCE,Rome,Roman,"L. Afranius was a Roman playwright of the togata genre (comedy in Roman dress), active in the second century BCE. He was admired for his realistic portrayal of Roman life and his elegance of language. His works survive only in fragments.",35,common,high,Well-known figure in Roman literary history; fragments of his togatae comedies are preserved by later authors.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,2641,togatae
phi0800,lat,phi0800,Albinovanus Pedo,Albinovanus Pedo,person,historical,Augustan/Tiberian,1st century CE,Rome,Roman,"Albinovanus Pedo was a Roman poet, known for his epic on the exploits of Germanicus. Only fragments survive, quoted by Seneca the Elder. He belonged to the circle of Ovid.",18,specialist,medium,Fragments cited in the elder Seneca and elsewhere.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024908,1,139,carmina
