author_id,author_language,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
langnet:reader:author:san:abhayakaragupta,san,Abhayākaragupta,Abhayākaragupta,person,historical,12th century CE,c. 1100–1150,South Asia (Bengal region),Vajrayana Buddhism; Mahayana ritual and iconography,"Abhayākaragupta was a 12th-century Indian Buddhist master and scholar-monk, renowned for works on tantric ritual and iconography, such as the Niṣpaṇṇayogāvali, a key text for mandala construction.",70,specialist,high,Attested in Tibetan Buddhist sources; name and works well established.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,1952,Niṣpaṇṇayogāvali
langnet:reader:author:san:abhinanda,san,Abhinanda,Abhinanda,person,historical,Classical,c. 800–900,South Asia,Jain; Sanskrit courtly poetry and retellings,"Abhinanda was a Sanskrit poet and scholar, known for the Kādambarīkathāsāra (a poetic abridgement of Bāṇa's Kādambarī) and the Rāmacaritamahākāvya. He belongs to the tradition of Jain-influenced kāvya.",55,common,medium,May be conflated with another Abhinanda; dates approximate based on style and thematic content.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,4,36307,Kādambarīkathāsāra | Rāmacaritamahākāvya
langnet:reader:author:san:abhinavagupta,san,Abhinavagupta,Abhinavagupta,person,historical,medieval,c. 950–1020 CE,South Asia (Kashmir),Kashmir Shaivism (Trika),"Abhinavagupta was a towering figure in Indian philosophy and aesthetics, active in 10th–11th-century Kashmir. His vast corpus includes the Tantrāloka and Paramārthasāra, and his commentaries shaped the Pratyabhijñā school and Sanskrit literary theory.",92,canonical,high,Well-documented historical polymath; central to Kashmir Shaivism and Indian aesthetics.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,15,121301,Paramārthasāra | Tantrāloka | Parātriṃśikāvivaraṇa | Mālinīślokavārttika | Kramastotra | Paryantapañcāśikā | Ghaṭakarparavivṛti | Anuttarāṣṭikā
langnet:reader:author:san:advayasatika,san,Advayaśatikā,Advayaśatikā prajñāpāramitā,work_title,not_applicable,c. 8th–9th century,c. 700–900,South Asia,Buddhist Mahāyāna tradition (Prajñāpāramitā literature),"The Advayaśatikā ('One Hundred and Fifty Verses on Non-duality') is a short Prajñāpāramitā sūtra, part of the vast corpus of Mahāyāna Buddhist scriptures. It emphasizes the non-dual nature of reality and the perfection of wisdom.",30,specialist,medium,The author_display_name is the title of a text; no human author is attributed. Categorized as work_title per instructions.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,463,Advayaśatikā prajñāpāramitā
langnet:reader:author:san:agnisvamin,san,Agnisvāmin,Agnisvāmin,person,historical,early medieval,c. 7th–8th century CE,Indian subcontinent,"Śrauta ritual tradition, Śrautasūtra commentary","Agnisvāmin is a Sanskrit commentator known for his *Lāṭyāyanaśrautasūtrabhāṣya*, a commentary on the Lāṭyāyana Śrautasūtra pertaining to the Sāmaveda. His work is essential for understanding the ritual procedures of the Sāmavedic tradition.",45,specialist,medium,"Little is known of Agnisvāmin's life. The commentary is attributed and is an important source for the ritual tradition, but the author's historicity is inferred primarily from textual references.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,68324,Lāṭyāyanaśrautasūtrabhāṣya
langnet:reader:author:san:aksapada-gautama,san,Akṣapāda Gautama,Akṣapāda Gautama,person,historical,Ancient,c. 2nd–3rd century CE,Indian subcontinent,Founder of the Nyāya school of philosophy,"Akṣapāda Gautama (also known as Gautama or Gotama) is the legendary founder of the Nyāya school of logic, credited with composing the Nyāyasūtra. Though details of his life are obscure, his work has been foundational for Indian logic and epistemology.",90,canonical,high,"Attested in philosophical tradition; the Nyāyasūtra is securely assigned to this figure, though later commentaries sometimes differ on details of his life.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,1616,Nyāyasūtra
langnet:reader:author:san:amarasimha,san,Amarasiṃha,Amarasiṃha,person,historical,classical,c. 4th–6th century CE,South Asia,Hindu lexicography,"Amarasiṃha was an early Indian lexicographer, traditionally dated to the Gupta period, best known for composing the Amarakośa, a thesaurus and lexicon that became a standard reference for Sanskrit poets and scholars.",82,major,high,Well-established figure in Indian lexicography; author of a foundational thesaurus.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,8617,Amarakośa
langnet:reader:author:san:amaru,san,Amaru,Amaru,person,legendary,classical,c. 6th–7th century CE,South Asia,courtly,"Amaru is a celebrated Sanskrit poet, traditionally credited with the Amaruśataka, a collection of a hundred erotic verses. Little is known of his life, and he has become a semi-legendary figure in literary tradition, often identified with the king of the same name.",70,major,medium,Attribution of the Amaruśataka to a single author named Amaru is widespread but unverifiable; the poet's historicity is uncertain.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,1986,Amaruśataka
langnet:reader:author:san:annambhatta,san,Annambhaṭṭa,Annambhaṭṭa,person,historical,17th century,c. 1600–1700,South Asia,Hindu Nyāya-Vaiśeṣika philosophy,"Annambhaṭṭa was a 17th-century Indian philosopher and logician, best known for his foundational textbook Tarkasaṃgraha ('Compendium of Logic'), which systematically presents the principles of Nyāya-Vaiśeṣika thought and remains a standard introductory text in Sanskrit philosophical education.",85,canonical,high,Well-attested historical figure in Indian philosophical traditions; his work is widely studied.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,1,1232,Tarkasaṃgraha
langnet:reader:author:san:anonymous,san,Anonymous,Anonymous,anonymous_label,not_applicable,unknown,unknown,unknown,Sanskrit tradition,A default heading for unidentified authors. The works attributed here lack a known author.,10,specialist,low,Used for works where authorship is unknown or unrecoverable. May include multiple hands.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-024229,2,16639,Ṣaḍviṃśa Brāhmaṇa
