work_id,language,title,author,author_id,source_id,cts_work_urn,work_kind,parent_work_id,start_citation,end_citation,word_count,word_count_method,source_metadata_summary,classification_discovery_group_id,classification_discovery_tags,classification_global_popularity_score,classification_global_popularity_tier,classification_group_popularity_score,classification_group_popularity_tier,classification_category,classification_period,classification_date_range,classification_authorship_status,classification_popularity_score,classification_popularity_tier,classification_scope,classification_scope_popularity_score,classification_scope_popularity_tier,classification_confidence,classification_notes,classification_generator_models,classification_generator_run_id
langnet:reader:sanskrit_json:corpus_sa_abhayAkaragupta-niSpaNNayogAvali,san,Niṣpaṇṇayogāvali,Abhayākaragupta,,corpus_sa_abhayAkaragupta-niSpaNNayogAvali,,work,,,,1252,whitespace_tokens,,religion,buddhist_tantra|buddhist,25,specialist,35,specialist,Religious Text,Medieval,,single_attributed,25,specialist,Buddhist Tantra,35,specialist,high,"Niṣpaṇṇayogāvali by Abhayākaragupta is a Buddhist tantric text describing maṇḍala rituals. It is an important work within Vajrayāna studies, though specialized.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhayAkaragupta-niSpaNNayogAvali,san,Niṣpaṇṇayogāvali,Abhayākaragupta,,GRETIL_sa_abhayAkaragupta-niSpaNNayogAvali,,work,,,,700,whitespace_tokens,,religion,buddhist_tantra|tantra,15,specialist,20,specialist,Religious Text,Medieval,1000 CE–1200 CE,single_attributed,15,specialist,Buddhist Tantra,20,specialist,high,Abhayākaragupta’s Niṣpaṇṇayogāvali (‘Garland of Accomplished Yoga’) is a concise Buddhist tantric manual describing the iconometric details and visualization practices of several meditation deities. Its brevity (about 700 words) and technical nature confine its readership largely to specialists in Vajrayāna iconography and literature.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinanda-kAdambarIkathAsAra,san,Kādambarīkathāsāra,Abhinanda,,corpus_sa_abhinanda-kAdambarIkathAsAra,,work,,,,12945,whitespace_tokens,,narrative,katha|kavya,30,specialist,50,common,Narrative Prose,Classical,ca. 10th-11th century CE,single_attributed,30,specialist,Sanskrit Narrative Literature,50,common,high,"The Kādambarīkathāsāra by Abhinanda is a poetic abridgement of Bāṇa's famous prose romance Kādambarī. It condenses the elaborate original into a more accessible narrative verse form. While the original Kādambarī is a major kāvya work, Abhinanda's version is of interest mainly to specialists in Sanskrit narrative and literary adaptation.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhinanda-kAdambarIkathAsAra,san,Kādambarīkathāsāra,Abhinanda,,GRETIL_sa_abhinanda-kAdambarIkathAsAra,,work,,,,12787,whitespace_tokens,,narrative,katha|kavya,40,common,50,common,Narrative Prose,Classical,c. 900–1000,single_attributed,40,common,Other Sanskrit Literature,50,common,high,"Abhinanda’s Kādambarīkathāsāra (12,787 words) is a poetic abridgment of Bāṇa’s great prose romance Kādambarī. It preserves the narrative core in an elegant kathā form and is a commonly referenced work in Sanskrit literary studies.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinanda-rAmacaritamahAkAvye,san,Rāmacaritamahākāvya,Abhinanda,,corpus_sa_abhinanda-rAmacaritamahAkAvye,,work,,,,5478,whitespace_tokens,,narrative,kavya|ramayana,30,specialist,45,common,Epic,Classical,c. 800–1000 CE,single_attributed,30,specialist,Sanskrit Kavya,45,common,high,"The Rāmacaritamahākāvya by Abhinanda is a Sanskrit court epic (mahākāvya) retelling the Rāma story in ornate verse. It is a well-known but not canonical work within the kāvya tradition, read by specialists in Sanskrit poetry and Rāma literature.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhinanda-rAmacaritamahAkAvye,san,Rāmacaritamahākāvya,Abhinanda,,GRETIL_sa_abhinanda-rAmacaritamahAkAvye,,work,,,,5097,whitespace_tokens,,other,kavya|itihasa,20,specialist,30,specialist,Epic,Early Medieval,ca. 900-1100 CE,single_attributed,20,specialist,Sanskrit Kavya,30,specialist,high,"Abhinanda's Rāmacaritamahākāvya is a Sanskrit courtly epic retelling the story of Rāma in ornate kāvya style. While the Rāma narrative is universally known, this particular mahākāvya (ca. 5100 words) is not as widely read as the Rāmāyaṇa of Vālmīki or the works of Kālidāsa, positioning it as a specialist work within the vast corpus of Sanskrit literary epic.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinavagupta-anuttarASTikA,san,Anuttarāṣṭikā,Abhinavagupta,,corpus_sa_abhinavagupta-anuttarASTikA,,work,,,,311,whitespace_tokens,,hymn,stotra|shaiva|tantra,10,specialist,20,specialist,Hymn,Early Medieval,,single_attributed,10,specialist,Śaiva Tantra,20,specialist,high,Abhinavagupta's Anuttarāṣṭikā is a brief but philosophically dense stotra encapsulating the essence of the Pratyabhijñā system of Kashmir Śaivism. It is a specialist text valued within Tantric and Śaiva philosophical circles.,openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhinavagupta-anuttarASTikA,san,Anuttarāṣṭikā,Abhinavagupta,,GRETIL_sa_abhinavagupta-anuttarASTikA,,work,,,,235,whitespace_tokens,,hymn,tantra|shaiva|stotra,18,specialist,30,specialist,Stotra,Early Medieval,c. 975–1025 CE,single_attributed,18,specialist,Śaiva Tantra,30,specialist,high,"Abhinavagupta's Anuttarāṣṭikā is a short hymn (stotra) of eight verses devoted to the supreme nondual reality (Anuttara) in the Trika Śaiva tradition. Composed by the master philosopher and mystic, this dense, mantra-like poem encapsulates the essence of his nondual Tantric theology. Within the Śaiva tantric scope it holds common appeal as a praised example of stotra literature. However, across the global Sanskrit corpus, its extreme brevity (only 235 words) and esoteric doctrinal content make it a specialist text.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_ghaTakarparakAvya-comm,san,Ghaṭakarparavivṛti,Abhinavagupta,,corpus_sa_ghaTakarparakAvya-comm,,work,,,,3655,whitespace_tokens,,poetics,kavya|alamkarashastra|shaiva,25,specialist,45,common,Commentary,Early Medieval,10th–11th century CE,single_attributed,25,specialist,Sanskrit Kavya,45,common,medium,"The Ghaṭakarparavivṛti by Abhinavagupta is a 3,655-word commentary on the Ghaṭakarpara, a Prakrit/Sanskrit lyric poem. Abhinavagupta, a leading Śaiva philosopher, applies his poetic theory (dhvani) to this kāvya. The work is specialist globally but common within Sanskrit poetics and kāvya commentary.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_ghaTakarparakAvya-comm,san,Ghaṭakarparavivṛti,Abhinavagupta,,GRETIL_sa_ghaTakarparakAvya-comm,,work,,,,3493,whitespace_tokens,,commentary,kavya|sahityashastra|alamkarashastra,20,specialist,35,specialist,Commentary,Medieval,,attributed,20,specialist,Sanskrit Commentary,35,specialist,high,"The Ghaṭakarparavivṛti is a commentary by the Kashmir Śaiva polymath Abhinavagupta on the Ghaṭakarpara Kāvya, a short Sanskrit poem. Its 3,493 words provide a philosophical and aesthetic reading of the verse. Important within Kāvya and Śaiva commentarial traditions, but specialist in the wider Sanskrit canon.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinavagupta-kramastotra,san,Kramastotra,Abhinavagupta,,corpus_sa_abhinavagupta-kramastotra,,work,,,,895,whitespace_tokens,,hymn,stotra|shaiva,30,specialist,60,common,Stotra,Medieval,1000–1100,single_attributed,30,specialist,Stotra,60,common,high,"The Kramastotra by Abhinavagupta is a devotional hymn of the Kashmir Śaiva tradition, composed by the polymath philosopher and mystic Abhinavagupta. The stotra is a liturgical and meditative text praising the goddess (Kālī) of the Krama system. It is a well-regarded piece within tantric devotional literature, studied for its theological and poetic dimensions.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_texts:GRETIL_sa_abhinavagupta-kramastotra,san,Kramastotra,Abhinavagupta,,GRETIL_sa_abhinavagupta-kramastotra,,work,,,,682,whitespace_tokens,,hymn,stotra|shaiva|bhakti,25,specialist,40,common,Hymn,Early Medieval,c. 950–1050 CE,single_attributed,25,specialist,Stotra,40,common,high,"The Kramastotra is a short devotional hymn (stotra) composed by Abhinavagupta, the great Kashmiri Śaiva philosopher and aesthetician. With only 682 tokens, it is a compact but theologically rich praise poem dedicated to the goddess (Devi) in the Krama tradition of Kashmir Śaivism. The work holds specialist status in the broad Sanskrit corpus, but within the genre of Śaiva stotra literature it is a common reference, valued for its integration of Tantric philosophy with lyrical devotion.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
langnet:reader:sanskrit_json:corpus_sa_abhinavagupta-mAlinIzlokavArttika,san,Mālinīślokavārttika,Abhinavagupta,,corpus_sa_abhinavagupta-mAlinIzlokavArttika,,work,,,,22396,whitespace_tokens,,commentary,tantra|shaiva|bhashya,20,specialist,40,common,Commentary,Early Medieval,,single_attributed,20,specialist,Śaiva Tantra,40,common,high,"Abhinavagupta's Mālinīślokavārttika is a philosophical commentary on the Mālinīvijayottara Tantra, a key text of the Kashmir Śaiva tradition. It is highly regarded within Tantric and Śaiva studies but remains a specialist text in the broader Sanskrit corpus.",openai:deepseek/deepseek-v4-flash,reader-classifier-20260517-004811
