author_id,author_language,author_source_id,author_display_name,author_canonical_name,author_agent_kind,author_historicity_status,author_period,author_date_range,author_region,author_cultural_context,author_bio,author_prominence_score,author_prominence_tier,author_confidence,author_notes,author_generator_models,author_generator_run_id,work_count,word_count,representative_titles
tlg0116,grc,tlg0116,Abydenus,Abydenus,person,historical,Hellenistic,c. 200 BCE?,Abydos?,"Greek, antiquarian/chronographer","Abydenus is a Hellenistic historian and chronographer, known from fragments preserved in later sources such as Eusebius. He wrote on Assyrian and Babylonian history.",30,specialist,medium,Often mentioned in the context of Near Eastern historiography; some doubts about whether he is a distinct figure or a pseudonym.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,2165,Fragmenta
tlg2064,grc,tlg2064,Acacius,Acacius,person,historical,Late Antique,c. 4th–5th cent. CE,Eastern Roman Empire,Christian exegesis,Acacius is a name attached to fragments of a commentary on the Epistle to the Romans preserved in Greek catenae. The author may be Acacius of Caesarea or another exegete of the period.,20,specialist,low,Identification uncertain; several figures named Acacius are known from church history.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,1123,Fragmenta in epistulam ad Romanos (in catenis)
tlg1832,grc,tlg1832,Acesander,Acesander,person,uncertain,Hellenistic period (?),uncertain,Unknown,Ancient Greek,"Acesander is a shadowy figure known only from fragments preserved in papyri, including a citation in P. Oxy. 32.2637. His identity and dates are unknown, and the works attributed to him may derive from a larger historical or geographical compilation.",10,obscure,low,The assigned fragments are brief and lack firm attribution; the author may be a pseudoepigraphic name.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,2,634,Fragmenta | Fragmentum (P. Oxy. 32.2637)
tlg0309,grc,tlg0309,Achaeus,Achaeus,person,historical,Classical,5th-4th century BCE,Eretria,Greek,"Achaeus of Eretria was a Greek tragedian, known from fragments and ancient testimonia.",25,specialist,high,"Identified as Achaeus of Eretria, a known dramatic poet.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,456,Fragmenta
tlg2133,grc,tlg2133,Achilles Tatius (Astron.),Achilles Tatius Astronomus,person,historical,late classical,3rd–4th cent. CE,Alexandrian,Greek,"Achilles Tatius of Alexandria was a late antique Greek scholar and astronomer. He is known for his 'Isagoga excerpta', an introduction to the Phaenomena of Aratus.",35,specialist,medium,Disambiguated by 'Astron.' to distinguish from the novelist of the same name. Attribution is based on manuscript tradition.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,13811,Isagoga excerpta
tlg0532,grc,urn:cts:greekLit:tlg0532,Achilles Tatius (Scr. Erot.),Achilles Tatius,person,historical,Imperial (Second Sophistic),c. 2nd century CE,Alexandria,"Greek novel, Second Sophistic","Achilles Tatius of Alexandria was a Greek novelist of the 2nd century CE, author of the romance Leucippe and Clitophon. His work is a key example of the ancient Greek novel, marked by rhetorical sophistication and erotic themes.",80,canonical,high,The label 'Scr. Erot.' disambiguates from the astronomer Achilles Tatius. URN identifier used.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,42532,Leucippe et Clitophon
tlg0300,grc,tlg0300,Acta Alexandrinorum,Acta Alexandrinorum,work_title,not_applicable,Roman,2nd–3rd cent. CE,Egypt,"Roman Alexandria, Greek literature","A collection of texts known as the Acts of the Alexandrians, preserving accounts of disputes and trials involving Alexandrian Greeks under Roman rule. The corpus exists as a named work occupying the author slot.",30,specialist,medium,"The label 'Acta Alexandrinorum' refers to a corpus of fragmentary papyri, not a personal author. Used as a work title.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,6320,Acta Alexandrinorum
tlg2949,grc,tlg2949,Acta Barnabae,Acta Barnabae,work_title,not_applicable,Late antique (possibly 5th–7th c. CE),,Cyprus or Eastern Mediterranean,Early Christian apocryphal acts,"Acta Barnabae is a late antique apocryphal text recounting the missionary journeys and martyrdom of Barnabas, the companion of Paul. The work is anonymous and extant in a single manuscript tradition; the title serves as the author heading.",20,specialist,low,The heading 'Acta Barnabae' is a modern or manuscript-derived title for an anonymous Christian text. No historical author is known. Agent kind set to work_title.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,2211,Acta Barnabae
tlg0304,grc,tlg0304,Acta Et Martyrium Apollonii,Acta et martyrium Apollonii,work_title,not_applicable,late antique,3rd cent. CE,Roman Empire,Christian martyr literature,"A Greek account of the trial and martyrdom of the Christian apologist Apollonius, dating to the early third century CE. The text, transmitted under the title 'Acta et martyrium Apollonii', is a key witness to early Christian hagiography and legal proceedings in the Roman world.",35,specialist,high,The author field is occupied by the title of the work itself; no individual author is identified.,openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,1851,Acta et martyrium Apollonii
tlg2012,grc,tlg2012,Acta Eupli,Acta Eupli,work_title,not_applicable,Late Antique / Early Christian,4th century CE,Sicily / Rome,Christian martyrology,"The Acta Eupli is a martyrdom account of the deacon Euplus, who was executed under Diocletian. The narrative is hagiographic and the author slot is taken by the title.",30,specialist,high,"The TLG entry treats the anonymous acta as a textual unit. The heading is the title of the work, not an author.",openai:deepseek/deepseek-v4-flash,reader-author-classifier-20260517-030407,1,463,Acta Eupli
